/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Degradation', img_size=[160, 160, 160], vit_patches_size=[2, 2, 2], net_path='../model/TVD_Degradation[160, 160, 160]/TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234/epoch_0.pth', vit_name='Conv-ViT-B_16', pretrained_net_path='../model/TVD_Degradation[64, 64, 64]/TVD_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs48_lr0.01_seed1234/epoch_3.pth', is_encoder_pretrained=False, deterministic=1, max_epochs=4, batch_size=16, base_lr=0.01, seed=1234, is_savenii=False, test_save_dir='../predictions', gpu=4, batch_size_test=16, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, index=None, num_classes=2, volume_path='/work/sheidaei/mhashemi/data/deg', Dataset=<class 'datasets.dataset_3D.Degradation_dataset'>, list_dir='./lists/lists_Degradation', z_spacing=1, exp='TVD_Degradation[160, 160, 160]', distributed=False)
TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234
207 test iterations per epoch
name  177218 time 0.305556 dice_class1 0.974104 hd95_class1 0.000000
name  177218 time 0.333333 dice_class1 0.974002 hd95_class1 0.000000
name  177218 time 0.361111 dice_class1 0.975429 hd95_class1 0.000000
11it [04:31, 19.33s/it]name  177218 time 0.388889 dice_class1 0.974194 hd95_class1 0.000000
name  177218 time 0.416667 dice_class1 0.974811 hd95_class1 0.000000
name  177218 time 0.444444 dice_class1 0.972751 hd95_class1 0.000000
name  177218 time 0.472222 dice_class1 0.972261 hd95_class1 0.000000
name  177218 time 0.500000 dice_class1 0.970299 hd95_class1 0.000000
name  177218 time 0.527778 dice_class1 0.970183 hd95_class1 0.000000
name  177218 time 0.555556 dice_class1 0.967337 hd95_class1 0.000000
name  177218 time 0.583333 dice_class1 0.969221 hd95_class1 0.000000
name  177218 time 0.611111 dice_class1 0.965947 hd95_class1 0.000000
name  177218 time 0.638889 dice_class1 0.957870 hd95_class1 0.000000
name  177218 time 0.666667 dice_class1 0.959523 hd95_class1 0.000000
name  177218 time 0.694444 dice_class1 0.956949 hd95_class1 0.000000
name  177218 time 0.722222 dice_class1 0.954916 hd95_class1 0.000000
name  177218 time 0.750000 dice_class1 0.955044 hd95_class1 0.000000
name  177218 time 0.777778 dice_class1 0.953443 hd95_class1 1.000000
name  177218 time 0.805556 dice_class1 0.950538 hd95_class1 1.000000
12it [04:48, 18.74s/it]name  177218 time 0.833333 dice_class1 0.948310 hd95_class1 1.000000
name  177218 time 0.861111 dice_class1 0.940285 hd95_class1 1.000000
name  177218 time 0.888889 dice_class1 0.939407 hd95_class1 1.000000
name  177218 time 0.916667 dice_class1 0.937957 hd95_class1 1.000000
name  177218 time 0.944444 dice_class1 0.932411 hd95_class1 1.000000
name  177218 time 0.972222 dice_class1 0.931995 hd95_class1 1.000000
name  101962 time 0.083333 dice_class1 0.856823 hd95_class1 2.236068
name  101962 time 0.111111 dice_class1 0.904920 hd95_class1 1.414214
name  101962 time 0.138889 dice_class1 0.927152 hd95_class1 1.000000
name  101962 time 0.166667 dice_class1 0.936284 hd95_class1 1.000000
name  101962 time 0.194444 dice_class1 0.942716 hd95_class1 1.000000
name  101962 time 0.222222 dice_class1 0.947815 hd95_class1 1.000000
